Nr	Name	Typ 1	Typ 2	KP	Ang	Ver	SpA	SpV	Init
502	Zwottronin	Wasser	-	75	75	60	83	60	60
503	Admurai	Wasser	-	95	100	85	108	70	70
504	Nagelotz	Normal	-	45	55	39	35	39	42
505	Kukmarda	Normal	-	60	85	69	60	69	77
506	Yorkleff	Normal	-	45	60	45	25	45	55
507	Terribark	Normal	-	65	80	65	35	65	60
508	Bissbark	Normal	-	85	110	90	45	90	80
509	Felilou	Unlicht	-	41	50	37	50	37	66
510	Kleoparda	Unlicht	-	64	88	50	88	50	106
511	Vegimak	Pflanze	-	50	53	48	53	48	64
512	Vegichita	Pflanze	-	75	98	63	98	63	101
513	Grillmak	Feuer	-	50	53	48	53	48	64
514	Grillchita	Feuer	-	75	98	63	98	63	101
515	Sodamak	Wasser	-	50	53	48	53	48	64
516	Sodachita	Wasser	-	75	98	63	98	63	101
517	Somniam	Psycho	-	76	25	45	67	55	24
518	Somnivora	Psycho	-	116	55	85	107	95	29
519	Dusselgurr	Normal	Flug	50	55	50	36	30	43
520	Navitaub	Normal	Flug	62	77	62	50	42	65
521	Fasasnob	Normal	Flug	80	115	80	65	55	93
522	Elezeba	Elektro	-	45	60	32	50	32	76
523	Zebritz	Elektro	-	75	100	63	80	63	116
524	Kiesling	Gestein	-	55	75	85	25	25	15
525	Sedimantur	Gestein	-	70	105	105	50	40	20
526	Brockoloss	Gestein	-	85	135	130	60	80	25
527	Fleknoil	Psycho	Flug	65	45	43	55	43	72
528	Fletiamo	Psycho	Flug	67	57	55	77	55	114
529	Rotomurf	Boden	-	60	85	40	30	45	68
530	Stalobor	Boden	Stahl	110	135	60	50	65	88
531	Ohrdoch	Normal	-	103	60	86	60	86	50
532	Praktibalk	Kampf	-	75	80	55	25	35	35
533	Strepoli	Kampf	-	85	105	85	40	50	40
534	Meistagrif	Kampf	-	105	140	95	55	65	45
535	Schallquap	Wasser	-	50	50	40	50	40	64
536	Mebrana	Wasser	Boden	75	65	55	65	55	69
537	Branawarz	Wasser	Boden	105	95	75	85	75	74
538	Jiutesto	Kampf	-	120	100	85	30	85	45
539	Karadonis	Kampf	-	75	125	75	30	75	85
540	Strawickl	Käfer	Pflanze	45	53	70	40	60	42
541	Folikon	Käfer	Pflanze	55	63	90	50	80	42
542	Matrifol	Käfer	Pflanze	75	103	80	70	80	92
543	Toxiped	Käfer	Gift	30	45	59	30	39	57
544	Rollum	Käfer	Gift	40	55	99	40	79	47
545	Cerapendra	Käfer	Gift	60	100	89	55	69	112
546	Waumboll	Pflanze	Fee	40	27	60	37	50	66
547	Elfun	Pflanze	Fee	60	67	85	77	75	116
548	Lilminip	Pflanze	-	45	35	50	70	50	30
549	Dressella	Pflanze	-	70	60	75	110	75	90
550	Barschuft	Wasser	-	70	92	65	80	55	98
551	Ganovil	Boden	Unlicht	50	72	35	35	35	65
552	Rokkaiman	Boden	Unlicht	60	82	45	45	45	74
553	Rabigator	Boden	Unlicht	95	117	80	65	70	92
554	Flampion	Feuer	-	70	90	45	15	45	50
555	Flampivian	Feuer	-	105	140	55	30	55	95
556	Maracamba	Pflanze	-	75	86	67	106	67	60
557	Lithomith	Käfer	Gestein	50	65	85	35	35	55
558	Castellith	Käfer	Gestein	70	105	125	65	75	45
559	Zurrokex	Unlicht	Kampf	50	75	70	35	70	48
560	Irokex	Unlicht	Kampf	65	90	115	45	115	58
561	Symvolara	Psycho	Flug	72	58	80	103	80	97
562	Makabaja	Geist	-	38	30	85	55	65	30
563	Echnatoll	Geist	-	58	50	145	95	105	30
564	Galapaflos	Wasser	Gestein	54	78	103	53	45	22
565	Karippas	Wasser	Gestein	74	108	133	83	65	32
566	Flapteryx	Gestein	Flug	55	112	45	74	45	70
567	Aeropteryx	Gestein	Flug	75	140	65	112	65	110
568	Unratütox	Gift	-	50	50	62	40	62	65
569	Deponitox	Gift	-	80	95	82	60	82	75
570	Zorua	Unlicht	-	40	65	40	80	40	65
571	Zoroark	Unlicht	-	60	105	60	120	60	105
572	Picochilla	Normal	-	55	50	40	40	40	75
573	Chillabell	Normal	-	75	95	60	65	60	115
574	Mollimorba	Psycho	-	45	30	50	55	65	45
575	Hypnomorba	Psycho	-	60	45	70	75	85	55
576	Morbitesse	Psycho	-	70	55	95	95	110	65
577	Monozyto	Psycho	-	45	30	40	105	50	20
578	Mitodos	Psycho	-	65	40	50	125	60	30
579	Zytomega	Psycho	-	110	65	75	125	85	30
580	Piccolente	Wasser	Flug	62	44	50	44	50	55
581	Swaroness	Wasser	Flug	75	87	63	87	63	98
582	Gelatini	Eis	-	36	50	50	65	60	44
583	Gelatroppo	Eis	-	51	65	65	80	75	59
584	Gelatwino	Eis	-	71	95	85	110	95	79
585	Sesokitz	Normal	Pflanze	60	60	50	40	50	75
586	Kronjuwild	Normal	Pflanze	80	100	70	60	70	95
587	Emolga	Elektro	Flug	55	75	60	75	60	103
588	Laukaps	Käfer	-	50	75	45	40	45	60
589	Cavalanzas	Käfer	Stahl	70	135	105	60	105	20
590	Tarnpignon	Pflanze	Gift	69	55	45	55	55	15
591	Hutsassa	Pflanze	Gift	114	85	70	85	80	30
592	Quabbel	Wasser	Geist	55	40	50	65	85	40
593	Apoquallyp	Wasser	Geist	100	60	70	85	105	60
594	Mamolida	Wasser	-	165	75	80	40	45	65
595	Wattzapf	Käfer	Elektro	50	47	50	57	50	65
596	Voltula	Käfer	Elektro	70	77	60	97	60	108
597	Kastadur	Pflanze	Stahl	44	50	91	24	86	10
598	Tentantel	Pflanze	Stahl	74	94	131	54	116	20
599	Klikk	Stahl	-	40	55	70	45	60	30
600	Kliklak	Stahl	-	60	80	95	70	85	50
601	Klikdiklak	Stahl	-	60	100	115	70	85	90
602	Zapplardin	Elektro	-	35	55	40	45	40	60
603	Zapplalek	Elektro	-	65	85	70	75	70	40
604	Zapplarang	Elektro	-	85	115	80	105	80	50
605	Pygraulon	Psycho	-	55	55	55	85	55	30
606	Megalon	Psycho	-	75	75	75	125	95	40
607	Lichtel	Geist	Feuer	50	30	55	65	55	20
608	Laternecto	Geist	Feuer	60	40	60	95	60	55
609	Skelabra	Geist	Feuer	60	55	90	145	90	80
610	Milza	Drache	-	46	87	60	30	40	57
611	Sharfax	Drache	-	66	117	70	40	50	67
612	Maxax	Drache	-	76	147	90	60	70	97
613	Petznief	Eis	-	55	70	40	60	40	40
614	Siberio	Eis	-	95	130	80	70	80	50
615	Frigometri	Eis	-	80	50	50	95	135	105
616	Schnuthelm	Käfer	-	50	40	85	40	65	25
617	Hydragil	Käfer	-	80	70	40	100	60	145
618	Flunschlik	Boden	Elektro	109	66	84	81	99	32
619	Lin-Fu	Kampf	-	45	85	50	55	50	65
620	Wie-Shu	Kampf	-	65	125	60	95	60	105
621	Shardrago	Drache	-	77	120	90	60	90	48
622	Golbit	Boden	Geist	59	74	50	35	50	35
623	Golgantes	Boden	Geist	89	124	80	55	80	55
624	Gladiantri	Unlicht	Stahl	45	85	70	40	40	60
625	Caesurio	Unlicht	Stahl	65	125	100	60	70	70
626	Bisofank	Normal	-	95	110	95	40	95	55
627	Geronimatz	Normal	Flug	70	83	50	37	50	60
628	Washakwil	Normal	Flug	100	123	75	57	75	80
629	Skallyk	Unlicht	Flug	70	55	75	45	65	60
630	Grypheldis	Unlicht	Flug	110	65	105	55	95	80
631	Furnifraß	Feuer	-	85	97	66	105	66	65
632	Fermicula	Käfer	Stahl	58	109	112	48	48	109
633	Kapuno	Unlicht	Drache	52	65	50	45	50	38
634	Duodino	Unlicht	Drache	72	85	70	65	70	58
635	Trikephalo	Unlicht	Drache	92	105	90	125	90	98
636	Ignivor	Käfer	Feuer	55	85	55	50	55	60
637	Ramoth	Käfer	Feuer	85	60	65	135	105	100
638	Kobalium	Stahl	Kampf	91	90	129	90	72	108
639	Terrakium	Gestein	Kampf	91	129	90	72	90	108
640	Viridium	Pflanze	Kampf	91	90	72	90	129	108
641	Boreos	Flug	-	79	115	70	125	80	111
642	Voltolos	Elektro	Flug	79	115	70	125	80	111
643	Reshiram	Drache	Feuer	100	120	100	150	120	90
644	Zekrom	Drache	Elektro	100	150	120	120	100	90
645	Demeteros	Boden	Flug	89	125	90	115	80	101
646	Kyurem	Drache	Eis	125	130	90	130	90	95
647	Keldeo	Wasser	Kampf	91	72	90	129	90	108
648	Meloetta	Normal	Psycho	100	77	77	128	128	90
649	Genesect	Käfer	Stahl	71	120	95	120	95	99
650	Igamaro	Pflanze	-	56	61	65	48	45	38
651	Igastarnish	Pflanze	-	61	78	95	56	58	57
652	Brigaron	Pflanze	Kampf	88	107	122	74	75	64
653	Fynx	Feuer	-	40	45	40	62	60	60
654	Rutena	Feuer	-	59	59	58	90	70	73
655	Fennexis	Feuer	Psycho	75	69	72	114	100	104
656	Froxy	Wasser	-	41	56	40	62	44	71
657	Amphizel	Wasser	-	54	63	52	83	56	97
658	Quajutsu	Wasser	Unlicht	72	95	67	103	71	122
659	Scoppel	Normal	-	38	36	38	32	36	57
660	Grebbit	Normal	Boden	85	56	77	50	77	78
661	Dartiri	Normal	Flug	45	50	43	40	38	62
662	Dartignis	Feuer	Flug	62	73	55	56	52	84
663	Fiaro	Feuer	Flug	78	81	71	74	69	126
664	Purmel	Käfer	-	38	35	40	27	25	35
665	Puponcho	Käfer	-	45	22	60	27	30	29
666	Vivillon	Käfer	Flug	80	52	50	90	50	89
667	Leufeo	Feuer	Normal	62	50	58	73	54	72
668	Pyroleo	Feuer	Normal	86	68	72	109	66	106
669	Flabébé	Fee	-	44	38	39	61	79	42
670	Floette	Fee	-	54	45	47	75	98	52
671	Florges	Fee	-	78	65	68	112	154	75
672	Mähikel	Pflanze	-	66	65	48	62	57	52
673	Chevrumm	Pflanze	-	123	100	62	97	81	68
674	Pam-Pam	Kampf	-	67	82	62	46	48	43
675	Pandagro	Kampf	Unlicht	95	124	78	69	71	58
676	Coiffwaff	Normal	-	75	80	60	65	90	102
677	Psiau	Psycho	-	62	48	54	63	60	68
678	Psiaugon	Psycho	-	74	48	76	83	81	104
679	Gramokles	Stahl	Geist	45	80	100	35	37	28
680	Duokles	Stahl	Geist	59	110	150	45	49	35
681	Durengard	Stahl	Geist	60	50	140	50	140	60
682	Parfi	Fee	-	78	52	60	63	65	23
683	Parfinesse	Fee	-	101	72	72	99	89	29
684	Flauschling	Fee	-	62	48	66	59	57	49
685	Sabbaione	Fee	-	82	80	86	85	75	72
686	Iscalar	Unlicht	Psycho	53	54	53	37	46	45
687	Calamanero	Unlicht	Psycho	86	92	88	68	75	73
688	Bithora	Gestein	Wasser	42	52	67	39	56	50
689	Thanathora	Gestein	Wasser	72	105	115	54	86	68
690	Algitt	Gift	Wasser	50	60	60	60	60	30
691	Tandrak	Gift	Drache	65	75	90	97	123	44
692	Scampisto	Wasser	-	50	53	62	58	63	44
693	Wummer	Wasser	-	71	73	88	120	89	59
694	Eguana	Elektro	Normal	44	38	33	61	43	70
695	Elezard	Elektro	Normal	62	55	52	109	94	109
696	Balgoras	Gestein	Drache	58	89	77	45	45	48
697	Monargoras	Gestein	Drache	82	121	119	69	59	71
698	Amarino	Gestein	Eis	77	59	50	67	63	46
699	Amagarga	Gestein	Eis	123	77	72	99	92	58
700	Feelinara	Fee	-	95	65	65	110	130	60
701	Resladero	Kampf	Flug	78	92	75	74	63	118
702	Dedenne	Elektro	Fee	67	58	57	81	67	101
703	Rocara	Gestein	Fee	50	50	150	50	150	50
704	Viscora	Drache	-	45	50	35	55	75	40
705	Viscargot	Drache	-	68	75	53	83	113	60
706	Viscogon	Drache	-	90	100	70	110	150	80
707	Clavion	Stahl	Fee	57	80	91	80	87	75
708	Paragoni	Geist	Pflanze	43	70	48	50	60	38
709	Trombork	Geist	Pflanze	85	110	76	65	82	56
710	Irrbis	Geist	Pflanze	49	66	70	44	55	51
711	Pumpdjinn	Geist	Pflanze	65	90	122	58	75	84
712	Arktip	Eis	-	55	69	85	32	35	28
713	Arktilas	Eis	-	95	117	184	44	46	28
714	eF-eM	Flug	Drache	40	30	35	45	40	55
715	UHaFnir	Flug	Drache	85	70	80	97	80	123
716	Xerneas	Fee	-	126	131	95	131	98	99
717	Yveltal	Unlicht	Flug	126	131	95	131	98	99
718	Zygarde	Drache	Boden	108	100	121	81	95	95
719	Diancie	Gestein	Fee	50	100	150	100	150	50
720	Hoopa	Psycho	Geist	80	110	60	150	130	70
721	Volcanion	Feuer	Wasser	80	110	120	130	90	70
722	Bauz	Pflanze	Flug	68	55	55	50	50	42
723	Arboretoss	Pflanze	Flug	78	75	75	70	70	52
724	Silvarro	Pflanze	Geist	78	107	75	100	100	70
725	Flamiau	Feuer	-	45	65	40	60	40	70
726	Miezunder	Feuer	-	65	85	50	80	50	90
727	Fuegro	Feuer	Unlicht	95	115	90	80	90	60
728	Robball	Wasser	-	50	54	54	66	56	40
729	Marikeck	Wasser	-	60	69	69	91	81	50
730	Primarene	Wasser	Fee	80	74	74	126	116	60
731	Peppeck	Normal	Flug	35	75	30	30	30	65
732	Trompeck	Normal	Flug	55	85	50	40	50	75
733	Tukanon	Normal	Flug	80	120	75	75	75	60
734	Mangunior	Normal	-	48	70	30	30	30	45
735	Manguspektor	Normal	-	88	110	60	55	60	45
736	Mabula	Käfer	-	47	62	45	55	45	46
737	Akkup	Käfer	Elektro	57	82	95	55	75	36
738	Donarion	Käfer	Elektro	77	70	90	145	75	43
739	Krabbox	Kampf	-	47	82	57	42	47	63
740	Krawell	Kampf	Eis	97	132	77	62	67	43
741	Choreogel	Feuer	Flug	75	70	70	98	70	93
742	Wommel	Käfer	Fee	40	45	40	55	40	84
743	Bandelby	Käfer	Fee	60	55	60	95	70	124
744	Wuffels	Gestein	-	45	65	40	30	40	60
745	Wolwerock	Gestein	-	75	115	65	55	65	112
746	Lusardin	Wasser	-	45	20	20	25	25	40
747	Garstella	Gift	Wasser	50	53	62	43	52	45
748	Aggrostella	Gift	Wasser	50	63	152	53	142	35
749	Pampuli	Boden	-	70	100	70	45	55	45
750	Pampross	Boden	-	100	125	100	55	85	35
751	Araqua	Wasser	Käfer	38	40	52	40	72	27
752	Aranestro	Wasser	Käfer	68	70	92	50	132	42
753	Imantis	Pflanze	-	40	55	35	50	35	35
754	Mantidea	Pflanze	-	70	105	90	80	90	45
755	Bubungus	Pflanze	Fee	40	35	55	65	75	15
756	Lamellux	Pflanze	Fee	60	45	80	90	100	30
757	Molunk	Gift	Feuer	48	44	40	71	40	77
758	Amfira	Gift	Feuer	68	64	60	111	60	117
759	Velursi	Normal	Kampf	70	75	50	45	50	50
760	Kosturso	Normal	Kampf	120	125	80	55	60	60
761	Frubberl	Pflanze	-	42	30	38	30	38	32
762	Frubaila	Pflanze	-	52	40	48	40	48	62
763	Fruyal	Pflanze	-	72	120	98	50	98	72
764	Curelei	Fee	-	51	52	90	82	110	100
765	Kommandutan	Normal	Psycho	90	60	80	90	110	60
766	Quartermak	Kampf	-	100	120	90	40	60	80
767	Reißlaus	Käfer	Wasser	25	35	40	20	30	80
768	Tectass	Käfer	Wasser	75	125	140	60	90	40
769	Sankabuh	Geist	Boden	55	55	80	70	45	15
770	Colossand	Geist	Boden	85	75	110	100	75	35
771	Gufa	Wasser	-	55	60	130	30	130	5
772	Typ:Null	Normal	-	95	95	95	95	95	59
773	Amigento	Normal	-	95	95	95	95	95	95
774	Meteno	Gestein	Flug	60	60	100	60	100	60
775	Koalelu	Normal	-	65	115	65	75	95	65
776	Tortunator	Feuer	Drache	60	78	135	91	85	36
777	Togedemaru	Elektro	Stahl	65	98	63	40	73	96
778	Mimigma	Geist	Fee	55	90	80	50	105	96
779	Knirfish	Wasser	Psycho	68	105	70	70	70	92
780	Sen-Long	Normal	Drache	78	60	85	135	91	36
781	Moruda	Geist	Pflanze	70	131	100	86	90	40
782	Miniras	Drache	-	45	55	65	45	45	45
783	Mediras	Drache	Kampf	55	75	90	65	70	65
784	Grandiras	Drache	Kampf	75	110	125	100	105	85
785	Kapu-Riki	Elektro	Fee	70	115	85	95	75	130
786	Kapu-Fala	Psycho	Fee	70	85	75	130	115	95
787	Kapu-Toro	Pflanze	Fee	70	130	115	85	95	75
788	Kapu-Kime	Wasser	Fee	70	75	115	95	130	85
789	Cosmog	Psycho	-	43	29	31	29	31	37
790	Cosmovum	Psycho	-	43	29	131	29	131	37
791	Solgaleo	Psycho	Stahl	137	137	107	113	89	97
792	Lunala	Psycho	Geist	137	113	89	137	107	97
793	Anego	Gestein	Gift	109	53	47	127	131	103
794	Masskito	Käfer	Kampf	107	139	139	53	53	79
795	Schabelle	Käfer	Kampf	71	137	37	137	37	151
796	Voltriant	Elektro	-	83	89	71	173	71	83
797	Kaguron	Stahl	Flug	97	101	103	107	101	61
798	Katagami	Pflanze	Stahl	59	181	131	59	31	109
799	Schlingking	Unlicht	Drache	223	101	53	97	53	43
800	Necrozma	Psycho	-	97	107	101	127	89	79
801	Magearna	Stahl	Fee	80	95	115	130	115	65
802	Marshadow	Kampf	Geist	90	125	80	90	90	125
803	Venicro	Gift	-	67	73	67	73	67	73
804	Agoyon	Gift	Drache	73	73	73	127	73	121
805	Muramura	Gestein	Stahl	61	131	211	53	101	13
806	Kopplosio	Feuer	Geist	53	127	53	151	79	107
807	Zeraora	Elektro	-	88	112	75	102	80	143
808	Meltan	Stahl	-	46	65	65	55	35	34
809	Melmetal	Stahl	-	135	143	143	80	65	34
810	Chimpep	Pflanze	-	50	65	50	40	40	65
811	Chimstix	Pflanze	-	70	85	70	55	60	80
812	Gortrom	Pflanze	-	100	125	90	60	70	85
813	Hopplo	Feuer	-	50	71	40	40	40	69
814	Kickerlo	Feuer	-	65	86	60	55	60	94
815	Liberlo	Feuer	-	80	116	75	65	75	119
816	Memmeon	Wasser	-	50	40	40	70	40	70
817	Phlegleon	Wasser	-	65	60	55	95	55	90
818	Intelleon	Wasser	-	70	85	65	125	65	120
819	Raffel	Normal	-	70	55	55	35	35	25
820	Schlaraffel	Normal	-	120	95	95	55	75	20
821	Meikro	Flug	-	38	47	35	33	35	57
822	Kranoviz	Flug	-	68	67	55	43	55	77
823	Krarmor	Flug	Stahl	98	87	105	53	85	67
824	Sensect	Käfer	-	25	20	20	25	45	45
825	Keradar	Käfer	Psycho	50	35	80	50	90	30
826	Maritellit	Käfer	Psycho	60	45	110	80	120	90
827	Kleptifux	Unlicht	-	40	28	28	47	52	50
828	Gaunux	Unlicht	-	70	58	58	87	92	90
829	Cottini	Pflanze	-	40	40	60	40	60	10
830	Cottomi	Pflanze	-	60	50	90	80	120	60
831	Wolly	Normal	-	42	40	55	40	45	48
832	Zwollock	Normal	-	72	80	100	60	90	88
833	Kamehaps	Wasser	-	50	64	50	38	38	44
834	Kamalm	Wasser	Gestein	90	115	90	48	68	74
835	Voldi	Elektro	-	59	45	50	40	50	26
836	Bellektro	Elektro	-	69	90	60	90	60	121
837	Klonkett	Gestein	-	30	40	50	40	50	30
838	Wagong	Gestein	Feuer	80	60	90	60	70	50
839	Montecarbo	Gestein	Feuer	110	80	120	80	90	30
840	Knapfel	Pflanze	Drache	40	40	80	40	40	20
841	Drapfel	Pflanze	Drache	70	110	80	95	60	70
842	Schlapfel	Pflanze	Drache	110	85	80	100	80	30
843	Salanga	Boden	-	52	57	75	35	50	46
844	Sanaconda	Boden	-	72	107	125	65	70	71
845	Urgl	Flug	Wasser	70	85	55	85	95	85
846	Pikuda	Wasser	-	41	63	40	40	30	66
847	Barrakiefa	Wasser	-	61	123	60	60	50	136
848	Toxel	Elektro	Gift	40	38	35	54	35	40
849	Riffex	Elektro	Gift	75	98	70	114	70	75
850	Thermopod	Feuer	Käfer	50	65	45	50	50	45
851	Infernopod	Feuer	Käfer	100	115	65	90	90	65
852	Klopptopus	Kampf	-	50	68	60	50	50	32
853	Kaocto	Kampf	-	80	118	90	70	80	42
854	Fatalitee	Geist	-	40	45	45	74	54	50
855	Mortipot	Geist	-	60	65	65	134	114	70
856	Brimova	Psycho	-	42	30	45	56	53	39
857	Brimano	Psycho	-	57	40	65	86	73	49
858	Silembrim	Psycho	Fee	57	90	95	136	103	29
859	Bähmon	Unlicht	Fee	45	45	30	55	40	50
860	Pelzebub	Unlicht	Fee	65	60	45	75	55	70
861	Olangaar	Unlicht	Fee	95	120	65	95	75	60
862	Barrikadax	Unlicht	Normal	93	90	101	60	81	95
863	Mauzinger	Stahl	-	70	110	100	50	60	50
864	Gorgasonn	Geist	-	60	95	50	145	130	30
865	Lauchzelot	Kampf	-	62	135	95	68	82	65
866	Pantifrost	Eis	Psycho	80	85	75	110	100	70
867	Oghnatoll	Boden	Geist	58	95	145	50	105	30
868	Hokumil	Fee	-	45	40	40	50	61	34
869	Pokusan	Fee	-	65	60	75	110	121	64
870	Legios	Kampf	-	65	100	100	70	60	75
871	Britzigel	Elektro	-	48	101	95	91	85	15
872	Snomnom	Eis	Käfer	30	25	35	45	30	20
873	Mottineva	Eis	Käfer	70	65	60	125	90	65
874	Humanolith	Gestein	-	100	125	135	20	20	70
875	Kubuin	Eis	-	75	80	110	65	90	50
876	Servol	Psycho	Normal	60	65	55	105	95	95
877	Morpeko	Elektro	Unlicht	58	95	58	70	58	97
878	Kupfanti	Stahl	-	72	80	49	40	49	40
879	Patinaraja	Stahl	-	122	130	69	80	69	30
880	Lectragon	Elektro	Drache	90	100	90	80	70	75
881	Lecryodon	Elektro	Eis	90	100	90	90	80	55
882	Pescragon	Wasser	Drache	90	90	100	70	80	75
883	Pescryodon	Wasser	Eis	90	90	100	80	90	55
884	Duraludon	Stahl	Drache	70	95	115	120	50	85
885	Grolldra	Drache	Geist	28	60	30	40	30	82
886	Phandra	Drache	Geist	68	80	50	60	50	102
887	Katapuldra	Drache	Geist	88	120	75	100	75	142
888	Zacian	Fee	-	92	120	115	80	115	138
889	Zamazenta	Kampf	-	92	120	115	80	115	138
890	Endynalos	Gift	Drache	140	85	95	145	95	130
891	Dakuma	Kampf	-	60	90	60	53	50	72
892	Wulaosu	Kampf	Unlicht	100	130	100	63	60	97
893	Zarude	Unlicht	Pflanze	105	120	105	70	95	105
894	Regieleki	Elektro	-	80	100	50	100	50	200
895	Regidrago	Drache	-	200	100	50	100	50	80
896	Polaross	Eis	-	100	145	130	65	110	30
897	Phantoross	Geist	-	100	65	60	145	80	130
898	Coronospa	Psycho	Pflanze	100	80	80	80	80	80
899	Damythir	Normal	Psycho	103	105	72	105	75	65
900	Axantor	Käfer	Gestein	70	135	95	45	70	85
901	Ursaluna	Boden	Normal	130	140	105	45	80	50
902	Salmagnis	Wasser	Geist	120	112	65	80	75	78
903	Snieboss	Kampf	Gift	80	130	60	40	80	120
904	Myriador	Unlicht	Gift	85	115	95	65	65	85
905	Cupidos	Fee	Flug	74	115	70	135	80	106
906	Felori	Pflanze	-	40	61	54	45	45	65
907	Feliospa	Pflanze	-	61	80	63	60	63	83
908	Maskagato	Pflanze	Unlicht	76	110	70	81	70	123
909	Krokel	Feuer	-	67	45	59	63	40	36
910	Lokroko	Feuer	-	81	55	78	90	58	49
911	Skelokrok	Feuer	Geist	104	75	100	110	75	66
912	Kwaks	Wasser	-	55	65	45	50	45	50
913	Fuentente	Wasser	-	70	85	65	65	60	65
914	Bailonda	Wasser	Kampf	85	120	80	85	75	85
915	Ferkuli	Normal	-	54	45	40	35	45	35
916	Fragrunz	Normal	-	110	100	75	59	80	65
917	Tarundel	Käfer	-	35	41	45	29	40	20
918	Spinsidias	Käfer	-	60	79	92	52	86	35
919	Micrick	Käfer	-	33	46	40	21	25	45
920	Lextremo	Käfer	Unlicht	71	102	78	52	55	92
921	Pamo	Elektro	-	45	50	20	40	25	60
922	Pamamo	Elektro	Kampf	60	75	40	50	40	85
923	Pamomamo	Elektro	Kampf	70	115	70	70	60	105
924	Zwieps	Normal	-	50	50	45	40	45	75
925	Famieps	Normal	-	74	75	70	65	75	111
926	Hefel	Fee	-	37	55	70	30	55	65
927	Backel	Fee	-	57	80	115	50	80	95
928	Olini	Pflanze	Normal	41	35	45	58	51	30
929	Olivinio	Pflanze	Normal	52	53	60	78	78	33
930	Olithena	Pflanze	Normal	78	69	90	125	109	39
931	Krawalloro	Normal	Flug	82	96	51	45	51	92
932	Geosali	Gestein	-	55	55	75	35	35	25
933	Sedisal	Gestein	-	60	60	100	35	65	35
934	Saltigant	Gestein	-	100	100	130	45	90	35
935	Knarbon	Feuer	-	40	50	40	50	40	35
936	Crimanzo	Feuer	Psycho	85	60	100	125	80	75
937	Azugladis	Feuer	Geist	75	125	80	60	100	85
938	Blipp	Elektro	-	61	31	41	59	35	45
939	Wampitz	Elektro	-	109	64	91	103	83	45
940	Voltrel	Elektro	Flug	40	40	35	55	40	70
941	Voltrean	Elektro	Flug	70	70	60	105	60	125
942	Mobtiff	Unlicht	-	60	78	60	40	51	51
943	Mastifioso	Unlicht	-	80	120	90	60	70	85
944	Sproxi	Gift	Normal	40	65	35	40	35	75
945	Affiti	Gift	Normal	63	95	65	80	72	110
946	Weherba	Pflanze	Geist	40	65	30	45	35	60
947	Horrerba	Pflanze	Geist	55	115	70	80	70	90
948	Tentagra	Boden	Pflanze	40	40	35	50	100	70
949	Tenterra	Boden	Pflanze	80	70	65	80	120	100
950	Klibbe	Gestein	-	70	100	115	35	55	75
951	Chilingel	Pflanze	-	50	62	40	62	40	50
952	Halupenjo	Pflanze	Feuer	65	108	65	108	65	75
953	Relluk	Käfer	-	41	50	60	31	58	30
954	Skarabaks	Käfer	Psycho	75	50	85	115	100	45
955	Flattutu	Psycho	-	30	35	30	55	30	75
956	Psiopatra	Psycho	-	95	60	60	101	60	105
957	Forgita	Fee	Stahl	50	45	45	35	64	58
958	Tafforgita	Fee	Stahl	65	55	55	45	82	78
959	Granforgita	Fee	Stahl	85	75	77	70	105	94
960	Schligda	Wasser	-	10	55	25	35	25	95
961	Schligdri	Wasser	-	35	100	50	50	70	120
962	Adebom	Flug	Unlicht	70	103	85	60	85	82
963	Normifin	Wasser	-	70	45	40	45	40	75
964	Delfinator	Wasser	-	100	70	72	53	62	100
965	Knattox	Stahl	Gift	45	70	63	30	45	47
966	Knattatox	Stahl	Gift	80	119	90	54	67	90
967	Mopex	Drache	Normal	70	95	65	85	65	121
968	Schlurm	Stahl	-	70	85	145	60	55	65
969	Lumispross	Gestein	Gift	48	35	42	105	60	60
970	Lumiflora	Gestein	Gift	83	55	90	130	81	86
971	Gruff	Geist	-	50	61	60	30	55	34
972	Friedwuff	Geist	-	72	101	100	50	97	68
973	Flaminkno	Flug	Kampf	82	115	74	75	64	90
974	Flaniwal	Eis	-	108	68	45	30	40	43
975	Kolowal	Eis	-	170	113	65	45	55	73
976	Agiluza	Wasser	Psycho	90	102	73	78	65	70
977	Heerashai	Wasser	-	150	100	115	65	65	35
978	Nigiragi	Drache	Wasser	68	50	60	120	95	82
979	Epitaff	Kampf	Geist	110	115	80	50	90	90
980	Suelord	Gift	Boden	130	75	60	45	100	20
981	Farigiraf	Normal	Psycho	120	90	70	110	70	60
982	Dummimisel	Normal	-	125	100	80	85	75	55
983	Gladimperio	Unlicht	Stahl	100	135	120	60	85	50
984	Riesenzahn	Boden	Kampf	115	131	131	53	53	87
985	Brüllschweif	Fee	Psycho	115	65	99	65	115	111
986	Wutpilz	Pflanze	Unlicht	111	127	99	79	99	55
987	Flatterhaar	Geist	Fee	55	55	55	135	135	135
988	Kriechflügel	Käfer	Kampf	85	135	79	85	105	81
989	Sandfell	Elektro	Boden	85	81	97	121	85	101
990	Eisenrad	Boden	Stahl	90	112	120	72	70	106
991	Eisenbündel	Eis	Wasser	56	80	114	124	60	136
992	Eisenhand	Kampf	Elektro	154	140	108	50	68	50
993	Eisenhals	Unlicht	Flug	94	80	86	122	80	108
994	Eisenfalter	Feuer	Gift	80	70	60	140	110	110
995	Eisendorn	Gestein	Elektro	100	134	110	70	84	72
